class,image_path,name,xmax,xmin,ymax,ymin
8,de0a4746b8b37979b79587bc112adb5a.jpg,SAND_ON_ROAD,556,17,688,345
,b155f164c09c5d00fb9556d7a97f271b.jpg,,,,,
,456308ef35d8488686e7550e9aa77980.jpg,,,,,
,44da35d4c05ad3bf10fe548087c392d2.jpg,,,,,
3,c71f7d0aca3fb8ec688138679f04f58e.jpg,GARBAGE,1642,1315,398,302
0,c71f7d0aca3fb8ec688138679f04f58e.jpg,GRAFFITI,1878,1442,385,277
10,a4ed70c8bd113ba593388308c445eb51.jpg,UNKEPT_FACADE,1733,49,752,66
,b2368c1eeac41914156f6d4853bbb310.jpg,,,,,
,84b2caa1e4b7d9c9c9fde03d43759005.jpg,,,,,
,ebe33221f33b6544e6a9f6f5273de1ae.jpg,,,,,
4,3b5a7af71e5b24131653f4dd10a316b0.jpg,CONSTRUCTION_ROAD,996,28,816,253
,96d97f329ffcdbabe21190588ee6cfe9.jpg,,,,,
,1be4aa314ab94b73fc3dd5dc74c856c2.jpg,,,,,
8,5898934f6e671fc76d8e02497f132a1d.jpg,SAND_ON_ROAD,1843,33,1067,37
4,5898934f6e671fc76d8e02497f132a1d.jpg,CONSTRUCTION_ROAD,1920,901,1139,91
,935631c777b457b18fbd71d77ae4c17d.jpg,,,,,
,6b248c6c07dfbb03e1a042b3d8005971.jpg,,,,,
,f3c187d799742aba7021b255aacda1a2.jpg,,,,,
8,511b262a3f67fb459d3125ffab58d0fb.jpg,SAND_ON_ROAD,1773,30,695,147
8,511b262a3f67fb459d3125ffab58d0fb.jpg,SAND_ON_ROAD,1904,1026,637,195
3,d1b14e1ba05efc06c49d11ad0c9384bc.jpg,GARBAGE,744,477,398,289
,8fc9d480491aa35a68b9c646de34ee9b.jpg,,,,,
4,d56476c16d9f25aa0742e733743ab902.jpg,CONSTRUCTION_ROAD,538,1,760,225
4,d56476c16d9f25aa0742e733743ab902.jpg,CONSTRUCTION_ROAD,789,61,640,293
,ce21a3d9b89ad4babdef6598af1a8694.jpg,,,,,
,8ffed9d1452ce339e73dab5cce6d5901.jpg,,,,,
,2487e649d3499dbfc336e67d5008bc9c.jpg,,,,,
,4eb68e3180ced3d1853bcce31ec39249.jpg,,,,,
3,50f53d69ca0397198087ff4044a23099.jpg,GARBAGE,1021,206,224,2
4,50f53d69ca0397198087ff4044a23099.jpg,CONSTRUCTION_ROAD,1811,491,656,120
4,49bba75961d964a80c99cb229f1232b7.jpg,CONSTRUCTION_ROAD,1865,6,866,213
4,49bba75961d964a80c99cb229f1232b7.jpg,CONSTRUCTION_ROAD,632,4,795,217
,01b010e04b475afa9b1e4e564000970d.jpg,,,,,
,98cd7511ffcb1155fb42ae84b305e6b1.jpg,,,,,
3,4b5c1744a585670f9d27a8013b774311.jpg,GARBAGE,714,369,431,294
3,4b5c1744a585670f9d27a8013b774311.jpg,GARBAGE,433,107,462,328
3,4b5c1744a585670f9d27a8013b774311.jpg,GARBAGE,908,595,408,289
,2d396535954c842647e15d96b4495423.jpg,,,,,
,acda4d2b293ce75cd0122787f3f3e9e1.jpg,,,,,
,b47c203760c494ac1ae0192c85fbeb4f.jpg,,,,,
3,ed02060462167027a21bd2e238e53e36.jpg,GARBAGE,521,276,603,506
,32131fc4fad909e3db3f7a785e5d84b9.jpg,,,,,
3,7e4d5830871b293a0ab4494b04976f52.jpg,GARBAGE,1636,1207,1005,834
,f0d14d315b426f604242ac18f9d1ab16.jpg,,,,,
,a6b0c1b57eb3433e94f22f81008702e0.jpg,,,,,
9,1d3f999e3eaccfd51ca731f549fedc56.jpg,CLUTTER_SIDEWALK,1889,30,1068,484
4,bc9dc7f43662a1831b0261b952625f90.jpg,CONSTRUCTION_ROAD,1907,1079,716,266
9,1c824e5b66a592be0aa5bbff48da7e1d.jpg,CLUTTER_SIDEWALK,1913,7,753,369
,818c7b3c9fd610cda6d507b07f621449.jpg,,,,,
3,9e952ce86410fb6e22ba1692877f2c04.jpg,GARBAGE,1479,1234,440,340
3,9e952ce86410fb6e22ba1692877f2c04.jpg,GARBAGE,752,419,364,236
,174d50f4b687afbec89c94e15404a307.jpg,,,,,
,a704475ae3b7cc292eda0e8e19d4e2f1.jpg,,,,,
,a84aa305eeec1bd63cc8ce5bf1375715.jpg,,,,,
4,5f8e07094e02ad94e9739f2a8fb396ba.jpg,CONSTRUCTION_ROAD,1885,1252,594,410
4,5f8e07094e02ad94e9739f2a8fb396ba.jpg,CONSTRUCTION_ROAD,1438,1057,529,410
4,5f8e07094e02ad94e9739f2a8fb396ba.jpg,CONSTRUCTION_ROAD,1622,1161,549,414
3,7e5ef2405b8bc8a092439f1b6467dfdb.jpg,GARBAGE,1897,1540,553,408
3,b645dc1c4ada5da2c2d3c677ef344ccd.jpg,GARBAGE,601,60,570,282
4,e21b1075eb5569a3b11d1a6a4b868c8c.jpg,CONSTRUCTION_ROAD,1877,179,1014,160
4,e21b1075eb5569a3b11d1a6a4b868c8c.jpg,CONSTRUCTION_ROAD,906,-9,608,87
4,e21b1075eb5569a3b11d1a6a4b868c8c.jpg,CONSTRUCTION_ROAD,1497,352,496,120
4,cd1bdbe2ff982b3bae284877213015aa.jpg,CONSTRUCTION_ROAD,1896,-18,1019,322
,1d96df994a93c50117cde044ef4cd576.jpg,,,,,
,ff70d044ebc529c4664193f29a1981d6.jpg,,,,,
0,afe660165a10f3a1bbfa9b1abe445487.jpg,GRAFFITI,1891,1476,556,361
0,afe660165a10f3a1bbfa9b1abe445487.jpg,GRAFFITI,1629,1208,537,373
0,afe660165a10f3a1bbfa9b1abe445487.jpg,GRAFFITI,564,0,654,287
9,e1d7018efa15535ec71e0ceac5c47898.jpg,CLUTTER_SIDEWALK,1905,-22,1035,422
3,584e790ea7d2df3416b616ed86eaddeb.jpg,GARBAGE,1087,884,577,455
,456aa781e297142e5adefa0454c2ee0b.jpg,,,,,
3,66e2f8d6bb8ae4d2c755236ea83a9692.jpg,GARBAGE,1684,1465,455,354
,b58dede21a4e5a4b9758ce61a1de2b1d.jpg,,,,,
,10560061d8b133b90a1ffceef2ba03eb.jpg,,,,,
,e6acfca0821bc396b99948b4f72a64e2.jpg,,,,,
,a18408353d0decad73502884abe939fb.jpg,,,,,
3,a61cc70864bd66a162346541b7b5e314.jpg,GARBAGE,508,135,413,279
3,024b3a7048ab6b3544bc8367d2c31487.jpg,GARBAGE,1914,1712,532,393
,35bb95971813be2b0d02fcbd7aa5402a.jpg,,,,,
,080d0a59aa580cb39ad129526485c419.jpg,,,,,
,8effa1bbb86dbcd7000b1c7673113bce.jpg,,,,,
,a5c2f98fbf41e403eace427e0bf988cc.jpg,,,,,
,191249ef1d8c31b2d8b037d7f0baceb5.jpg,,,,,
,83ec4e4e806c562ef27075a64004bac7.jpg,,,,,
3,5f3b60a5d26db41f46b6481ab660d509.jpg,GARBAGE,1628,1352,534,404
2,db9c0024c55e91b2e1edc6b34644bd27.jpg,POTHOLES,898,95,1101,613
2,db9c0024c55e91b2e1edc6b34644bd27.jpg,POTHOLES,796,61,758,420
,67b2a5c39e4402e58e4c1ca4d2537be3.jpg,,,,,
,ebeb00de0d36e92e5f296f6743c302eb.jpg,,,,,
,0ed0d1a503c19b44e29f0ba8d5ee7b0e.jpg,,,,,
7,80c474e15f1ce8d4feb5c005777e12d5.jpg,BAD_BILLBOARD,1517,898,370,180
8,60539f81338e927100a538546855b81d.jpg,SAND_ON_ROAD,1896,24,1109,91
4,3d06fb4d951578a2552a2324740a5467.jpg,CONSTRUCTION_ROAD,1900,1044,814,288
2,3d06fb4d951578a2552a2324740a5467.jpg,POTHOLES,1159,831,796,567
2,3d06fb4d951578a2552a2324740a5467.jpg,POTHOLES,1182,655,1092,704
,f527117b6b57cb949f81c9da8f051ac9.jpg,,,,,
3,65b1379ac4f8e05adc937a6c43f4d759.jpg,GARBAGE,172,6,586,479
,582f1b11f09182b3c2def85e8553d622.jpg,,,,,
8,c166412c68dbc89c42de6795a5c5bc4c.jpg,SAND_ON_ROAD,1909,1532,445,297
,daa4badf3a3e98f534dae101ca9a42e6.jpg,,,,,
,6106fd996ff3a2818b18fc7da6347d0e.jpg,,,,,
,3dea470248e8637636a0f89697b41236.jpg,,,,,
,fb2fb9aa238182ad79651903a8ba12d4.jpg,,,,,
3,0c94ad4fe7827a372539481433616372.jpg,GARBAGE,1918,1676,575,428
,7813d9977441e9d0bc88dbc30905c5cf.jpg,,,,,
2,deab9f5181a1a511df4346f1c0dacb0c.jpg,POTHOLES,1675,878,913,636
,012b49cf858552511458c440199ed082.jpg,,,,,
4,9e9c410558f9771927072e3df9c97cb9.jpg,CONSTRUCTION_ROAD,1820,2,1089,367
,7d06df36ce2ad637eb09ca6684190550.jpg,,,,,
,d3571bcc2862f34a5b21c33fc5e2c916.jpg,,,,,
,108b27e138205fc0a078ee87fa1bd921.jpg,,,,,
3,bbfa8811cbbb803b600093f0e4894e66.jpg,GARBAGE,921,460,591,451
,8dde142b270a6115e4b12a05d1cc5dd3.jpg,,,,,
3,e07ad37220b593194f1211958d043bae.jpg,GARBAGE,996,806,267,183
,27fc7d8f8b14e7cf6b8a600c9ba84930.jpg,,,,,
,f0bd46e8938b7389363fdde0f3bbf323.jpg,,,,,
,532e676d07dc3ec8032dbc51b58e70d6.jpg,,,,,
,bec67d65b97de6fdc914e3ace93e8dbb.jpg,,,,,
,ffec05b841277940e40de657722e6892.jpg,,,,,
,d804f1c743d40f328ce57edb3c0c3a63.jpg,,,,,
,bf40346e85a39919e42a7b718b01cfb1.jpg,,,,,
,502df708d332b86e5194ef3df5ab2719.jpg,,,,,
,7be42a4724301c9bcf14508febd4592c.jpg,,,,,
8,8c67378ce4fd2b4ea98655832a02155e.jpg,SAND_ON_ROAD,1968,-47,889,341
,81378866af0fa1df73eba401bb0b1a5c.jpg,,,,,
,bb4dff00d7ecce594f77983b2b8de2fc.jpg,,,,,
,a7f9af86a95dc0a502f4570edc234fb6.jpg,,,,,
,79b19a28de4cdf829cd961e194bca869.jpg,,,,,
4,fcb310d049b4b5681b6764520c3bec5b.jpg,CONSTRUCTION_ROAD,1902,956,612,156
4,fcb310d049b4b5681b6764520c3bec5b.jpg,CONSTRUCTION_ROAD,1451,227,551,179
,759028330f46c24ee16d23005382e680.jpg,,,,,
4,ee135225ef9406ad5210e5dba9446b60.jpg,CONSTRUCTION_ROAD,1902,934,960,288
,e3c6fb084ce5804fe524f16c15c933f1.jpg,,,,,
,6c75802d63c1743aa9ca9b007ddc350b.jpg,,,,,
,5d84221dd672d25fc4e58ac914b9c98f.jpg,,,,,
,584ef2facd2b3c711db09625d74869d6.jpg,,,,,
,d7315d5eb3bc2e4dba1f22e3f8ef78c5.jpg,,,,,
,0588e72d3887b84ebab9351e6482b880.jpg,,,,,
,8ee3d9ae87f18e737fbab5c356f424ef.jpg,,,,,
,3f1e8ecdd14ed47e42786c370be354c4.jpg,,,,,
4,99fce2201a1513c3824d8a3608026f9b.jpg,CONSTRUCTION_ROAD,749,4,744,311
2,e58f59b523d8a974cb56ec9c16cf6f45.jpg,POTHOLES,1036,760,646,491
0,14b666bff5c9a557747a198f2a478e32.jpg,GRAFFITI,359,5,420,64
,e6fc8504bdfa7b5df0193bb64fb2c8b9.jpg,,,,,
2,01267cf16572d5ec876f0111c5af4526.jpg,POTHOLES,1129,763,905,445
2,16ec58f79c8bed9cfe0628c1739000c5.jpg,POTHOLES,1556,1227,576,345
,a0dfbebe02500fa510081844a14af848.jpg,,,,,
,e47f7540098409d35e470705bf46ca4d.jpg,,,,,
,6c86868845ad1fccb925668be8369fc6.jpg,,,,,
,244992e77df54aec93d4b8cb10fe5f50.jpg,,,,,
7,578c823c71a55e03da9a4c8395f768ec.jpg,BAD_BILLBOARD,682,442,402,304
,7c5c6bfe26c010e793f7dd8cf844727a.jpg,,,,,
4,71f9e3168cd6f4c133fbf1009b32b069.jpg,CONSTRUCTION_ROAD,877,165,550,243
4,71f9e3168cd6f4c133fbf1009b32b069.jpg,CONSTRUCTION_ROAD,680,0,637,175
3,b05a43e393aa87a79b9f43fde8363b11.jpg,GARBAGE,1790,1418,1046,889
,156022a358563d26b714ba032297707e.jpg,,,,,
3,e0170167a3744949151377c608b1078a.jpg,GARBAGE,1716,1410,801,691
,95ab783c0e3afe9a9db86bdd7406eca1.jpg,,,,,
,67935070023c991db576412a053fa9f3.jpg,,,,,
,8ed0642021aed6ea8105338ea736d10e.jpg,,,,,
7,9a2f76fb7b40481fa2b372080ec07bfe.jpg,BAD_BILLBOARD,581,3,283,23
4,7162a9b352fc3320f075f74d893b4b1c.jpg,CONSTRUCTION_ROAD,1842,-17,909,211
2,1892d1a3592b9e296d53ab9d5c6ce3c4.jpg,POTHOLES,1809,1165,1078,771
,871ed699c445a167d97e116b4cc3c44c.jpg,,,,,
2,fec27f3f16b48d29c919b06888c79305.jpg,POTHOLES,1871,888,902,590
,4bdc216b94a6f8926b2ae340e6f25532.jpg,,,,,
,8a3c28e36fe5fd50bb35c8b360785124.jpg,,,,,
2,3033d3c21d896f661dade74d567ec4f1.jpg,POTHOLES,1678,1182,711,520
,292556f35373cfe83551c1a5102bd4a5.jpg,,,,,
3,334dee7f647d376b910e746da339ae51.jpg,GARBAGE,1139,978,481,387
0,bd31f77e3d4e34576adbf63bcda21786.jpg,GRAFFITI,428,9,441,195
3,f83ee337e61b9b1f382697339241e368.jpg,GARBAGE,217,9,377,251
3,f83ee337e61b9b1f382697339241e368.jpg,GARBAGE,459,194,373,262
9,afa16b8584f23b5875d0b74a5cbd3fa4.jpg,CLUTTER_SIDEWALK,1933,514,639,372
,cd978954509432e4a25f77232bec7d8f.jpg,,,,,
,054c3c89237513e1ed6ef361175fae30.jpg,,,,,
,3d092572ff3e4398121a5c57282709fc.jpg,,,,,
,e67491390f5d63a3323babfee4fcd7a1.jpg,,,,,
,1b98ab0a5b161d1b052087c84af61bf8.jpg,,,,,
,4a366ebe609e75147f2e6e94ae4d634e.jpg,,,,,
,45304d9ad798bc7c32f36c4ac300ba65.jpg,,,,,
4,1b77abbde02fcef0c104fa5eee29155d.jpg,CONSTRUCTION_ROAD,702,50,573,259
4,1b77abbde02fcef0c104fa5eee29155d.jpg,CONSTRUCTION_ROAD,464,-12,636,226
4,1b77abbde02fcef0c104fa5eee29155d.jpg,CONSTRUCTION_ROAD,936,709,450,344
4,20adae0de01068d60dcb60f775bb6887.jpg,CONSTRUCTION_ROAD,1853,23,1087,186
4,20adae0de01068d60dcb60f775bb6887.jpg,CONSTRUCTION_ROAD,1910,968,1144,130
,e8d9ca502c3d9704c864f690865faadc.jpg,,,,,
,447134249bf3f41809f7689a49e27421.jpg,,,,,
4,aeeea97dc3bf5e7a55095f9b4d6417fa.jpg,CONSTRUCTION_ROAD,1918,-39,1046,155
,fe4aa65fe506e2f73e9fdd096166c5c7.jpg,,,,,
,b4f2bd385e897dcf223380b56e6d5f4b.jpg,,,,,
0,4089be5d30f653eb9e26f316b6f28d3d.jpg,GRAFFITI,1167,-61,263,-7
2,4089be5d30f653eb9e26f316b6f28d3d.jpg,POTHOLES,1363,421,739,502
,58901f16e0f004e8c6d2f9f3d47f43c3.jpg,,,,,
,b95a929ffe6676119acd8eca77ac446e.jpg,,,,,
3,9f7d89053ccf62f14553037fcb632a32.jpg,GARBAGE,584,355,550,418
,2bcad30e7df80dbec678a3c9d704db74.jpg,,,,,
,fa8a8ae14ae8eb90c06501fcfcd548c2.jpg,,,,,
,f02a1a2c62bd152f48b7345625f5651d.jpg,,,,,
4,0d200a6761b3ebd25b290fc3b4008bd3.jpg,CONSTRUCTION_ROAD,1855,1006,666,324
7,224a45bbf1d63b5ff5cc1a6f0a3301e5.jpg,BAD_BILLBOARD,363,0,271,55
3,8fad36b28b3ab244a5672e7aef072082.jpg,GARBAGE,906,512,472,322
,577091c3419dccd28f7f413d34ddba7f.jpg,,,,,
4,1745703a49f8870571667504fa93f585.jpg,CONSTRUCTION_ROAD,1815,173,1097,261
,77e543dfc6396108a52a01f6b91a0006.jpg,,,,,
,0c002beffd10374f52471b54aa569295.jpg,,,,,
,4c0d782d4dac6e449c22d03cf5da8b35.jpg,,,,,
4,f8f3c4ce5e23d368822799e2fa12ca1f.jpg,CONSTRUCTION_ROAD,938,185,561,194
,77b9438001829e277851f2ca6782c885.jpg,,,,,
,2067c8023f1ff23275ff8b12b90f5bfe.jpg,,,,,
,8aa4213756c5a713be0909787f2875b4.jpg,,,,,
,4ac4198d1f2ee8e0c793af8826d01430.jpg,,,,,
5,92342abe62a44144d93bcd33381c91c6.jpg,BROKEN_SIGNAGE,1524,1249,389,124
,05340fbca3ae9816f56a950e8985519f.jpg,,,,,
7,a5fc7b7c41b46cd3d7f7218e7d165a51.jpg,BAD_BILLBOARD,1653,1318,337,240
,df658c50d4ca820a5704c1dcdfdc4704.jpg,,,,,
,b5ef7a68d66fcafe546de80372b0dc8f.jpg,,,,,
3,97e0a3df92b02141566b935b68e02df0.jpg,GARBAGE,1339,1153,516,423
4,07ab12aabf47cf31fc4ba7cc9b599ac0.jpg,CONSTRUCTION_ROAD,1887,-14,784,213
4,07ab12aabf47cf31fc4ba7cc9b599ac0.jpg,CONSTRUCTION_ROAD,1907,929,782,250
4,07ab12aabf47cf31fc4ba7cc9b599ac0.jpg,CONSTRUCTION_ROAD,644,16,748,183
4,ccd46c29c0fa28359ec68b5da0ac0565.jpg,CONSTRUCTION_ROAD,600,4,587,252
4,ccd46c29c0fa28359ec68b5da0ac0565.jpg,CONSTRUCTION_ROAD,1895,912,576,267
4,ccd46c29c0fa28359ec68b5da0ac0565.jpg,CONSTRUCTION_ROAD,1365,99,581,259
4,443a50c860568eb0e6188525400f1736.jpg,CONSTRUCTION_ROAD,665,6,628,304
4,443a50c860568eb0e6188525400f1736.jpg,CONSTRUCTION_ROAD,858,166,556,331
3,0e04b306f2471979e824c6b4b34763b0.jpg,GARBAGE,1038,689,660,533
,5de2ce8692fdb30c25adec602d998f62.jpg,,,,,
,9c0b0189f883b3bc4253465418ac61ed.jpg,,,,,
4,f6544c6c8d8620e13742beb4700a1ebf.jpg,CONSTRUCTION_ROAD,1858,146,1085,164
4,f6544c6c8d8620e13742beb4700a1ebf.jpg,CONSTRUCTION_ROAD,1907,954,1171,146
2,56dd6647242ffc72db349598c0ce4c39.jpg,POTHOLES,569,-5,1074,641
,8a330d1b513b3509553a1e6f159f8ea3.jpg,,,,,
,bd3546279976f5cdaf14373f038c66cd.jpg,,,,,
8,684f96caf9ca14c444ba86db2feb480a.jpg,SAND_ON_ROAD,1633,1307,502,357
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,1645,-1,899,243
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,1907,589,827,220
4,4903b67c09ff6a1d4557602f22320286.jpg,CONSTRUCTION_ROAD,702,-2,556,246
4,464c122ff4ed5ddcfa126eee94a6127a.jpg,CONSTRUCTION_ROAD,662,10,538,241
4,464c122ff4ed5ddcfa126eee94a6127a.jpg,CONSTRUCTION_ROAD,361,3,601,190
4,f511541324bda48b2bb86d3418216489.jpg,CONSTRUCTION_ROAD,1911,1317,832,248
3,a4e51fb1939651153b018dd1de061afb.jpg,GARBAGE,895,705,591,502
7,f4e35053b19574b7be925f4f9bc51e31.jpg,BAD_BILLBOARD,1408,599,481,293
,28a325ab147ea32f791ed4e1c9aaec17.jpg,,,,,
3,cdc086f2887af03d2792edda07faec51.jpg,GARBAGE,819,429,479,339
4,282042474a99423d65945f00f557ab0e.jpg,CONSTRUCTION_ROAD,659,0,614,218
4,282042474a99423d65945f00f557ab0e.jpg,CONSTRUCTION_ROAD,894,219,532,267
7,d2c6fff93742b9f3a89b38be450676d2.jpg,BAD_BILLBOARD,1233,639,195,37
,78d37c1570b49ec25d6b0b6d25c1c4ba.jpg,,,,,
,0b7a8579f30ce5a8e2680bd34559955f.jpg,,,,,
,0ab8f4c4a3de27c56737833a7a27346c.jpg,,,,,
7,07c43fbcec360c0629566c213990982b.jpg,BAD_BILLBOARD,2028,-64,1123,-41
4,4d21bcdf3014e827c9c51f7b8798b22e.jpg,CONSTRUCTION_ROAD,1790,32,903,189
4,4d21bcdf3014e827c9c51f7b8798b22e.jpg,CONSTRUCTION_ROAD,1926,896,987,157
4,4d21bcdf3014e827c9c51f7b8798b22e.jpg,CONSTRUCTION_ROAD,1039,5,811,161
,3394ae836cd3f57859c12e7b90d9dd09.jpg,,,,,
2,156c5c34442baea2f6fe56728b19e08f.jpg,POTHOLES,797,291,618,377
,24850b0620e4431d8fb1e4b45b14c60b.jpg,,,,,
4,f70d5afd075ae949b5d8acb6ca08edbb.jpg,CONSTRUCTION_ROAD,1883,1017,644,218
,195ada393c9bc978abaa033dc62d1548.jpg,,,,,
,861354ba67b904d3b1f24870e5408d53.jpg,,,,,
,f69bd08699ac36e8abdb16d54124189d.jpg,,,,,
,0de90c31de9923835a675f5b8fad9bfe.jpg,,,,,
,6e75b19a0de8f82f3f4ed145f18b519e.jpg,,,,,
,6e6b430912712af2a70f9bcce8c10dc2.jpg,,,,,
,5097d9f2f1c83b1f2fae25b7b8b87415.jpg,,,,,
,92b7e62144d5175c859bfda4d388b6db.jpg,,,,,
8,7c6700c64e26b777aebb115b9fa48de3.jpg,SAND_ON_ROAD,1874,2,1091,61
,eb7ac59f2565ca5991b6c3b7a89c7384.jpg,,,,,
,ac61068405f23780f2e3f139db9a68d9.jpg,,,,,
,4c59d66745407d6cec0445e480667b57.jpg,,,,,
2,793e253cca6a033652d3b26e517dcf2c.jpg,POTHOLES,1596,1063,958,630
2,793e253cca6a033652d3b26e517dcf2c.jpg,POTHOLES,1713,1110,1045,728
9,ffd8089216c7915c927a7203ece10f8d.jpg,CLUTTER_SIDEWALK,1735,-20,1063,332
2,4b0bf0d8e06a6b60eb4f49fb41b6e0b2.jpg,POTHOLES,1829,1028,911,348
,f9555fca45bdc9005704886432cb1024.jpg,,,,,
,2140f95b1fdbceeddfa20ba057ffb34d.jpg,,,,,
2,94c51c780e8707a140da01029ff0b41b.jpg,POTHOLES,1144,691,706,421
2,94c51c780e8707a140da01029ff0b41b.jpg,POTHOLES,1262,711,846,488
,ba91a0c500ebdcceefc38483c99f67a1.jpg,,,,,
2,e54e4848355d39ab1dce55b47edcc33a.jpg,POTHOLES,1836,1220,925,618
,f2f61f40c50a1327cacf469b04f8e91a.jpg,,,,,
4,98b92aac96f726503e31a5b5dac22a45.jpg,CONSTRUCTION_ROAD,1885,34,978,145
,f355a2fbd1ce243c94746023712e79f8.jpg,,,,,
,8f27b76d26cac95a9d9f3aba0a20a404.jpg,,,,,
,c998fee13a50cc61d9298f45ce2541fd.jpg,,,,,
,eaabaad89f5cfac70eecf13addd4eff7.jpg,,,,,
2,14f1c094c98e7fb58d7d32ab77cd92c5.jpg,POTHOLES,1908,1430,1083,805
2,14f1c094c98e7fb58d7d32ab77cd92c5.jpg,POTHOLES,1659,1017,755,635
,5b3b4ec8a027a8c0972b68d4f2e1ec8d.jpg,,,,,
3,b833ecf2db26c265a6acbec12445e1b2.jpg,GARBAGE,1916,1679,513,359
3,1764c097eee5e13169b53eb00b886199.jpg,GARBAGE,1914,1675,577,451
3,1764c097eee5e13169b53eb00b886199.jpg,GARBAGE,474,245,416,267
7,22942a308bc37b3d3c5d49d68b28e1aa.jpg,BAD_BILLBOARD,1029,720,473,354
,40c5f1d019b1310035c8612267e5f6d8.jpg,,,,,
7,006e04a34f54d116f6aff2bb31cb320c.jpg,BAD_BILLBOARD,1273,754,444,267
3,006e04a34f54d116f6aff2bb31cb320c.jpg,GARBAGE,931,714,707,615
